Unnamed: 0,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
860,"November 18, 2020",Utah,Payson,,0,0,http://www.gunviolencearchive.org/incident/1855884,https://www.deseret.com/utah/2020/11/19/21575293/drunken-payson-man-arrested-after-firing-guns-threatening-police-report-says
861,"November 18, 2020",Colorado,Aurora,,0,1,http://www.gunviolencearchive.org/incident/1856941,https://twitter.com/AuroraPD/status/1329556999978192896
862,"November 17, 2020",Tennessee,Jackson,Honey Bear Cove,0,4,http://www.gunviolencearchive.org/incident/1854207,https://www.wbbjtv.com/2020/11/17/4-injured-in-overnight-shooting-jackson-police-seek-info/
863,"November 17, 2020",Nevada,Las Vegas,2000 block of Morning Meadow Ct,0,0,http://www.gunviolencearchive.org/incident/1855173,https://www.reviewjournal.com/crime/shots-fired-during-theft-of-tow-truck-in-northeast-las-vegas-2185765/
864,"November 17, 2020",California,Fresno,E Church Ave and S Anna St,0,1,http://www.gunviolencearchive.org/incident/1855192,https://abc30.com/man-shot-in-the-leg-in-southwest-fresno/8066111/
865,"November 17, 2020",New York,Buffalo,50 block of St Louis Ave,1,0,http://www.gunviolencearchive.org/incident/1855205,https://www.wivb.com/news/local-news/buffalo/buffalo-woman-shot-and-killed-on-st-louis-ave-tuesday-night/
866,"November 17, 2020",Oklahoma,Oklahoma City,1500 block of NE 42nd St,0,2,http://www.gunviolencearchive.org/incident/1854292,https://kfor.com/news/local/oklahoma-city-police-investigating-double-shooting/
867,"November 17, 2020",Oklahoma,Luther,18900 block of NE 178th St,1,0,http://www.gunviolencearchive.org/incident/1854625,https://www.koco.com/article/74-year-old-woman-dies-after-apparent-accidental-shooting-in-luther-ocso-says/34706498
868,"November 17, 2020",Florida,Miami,55 NW 17th St,1,0,http://www.gunviolencearchive.org/incident/1855022,http://www.miamidade.gov/police/releases/PD201117363749_Police_Involved_Shooting.asp
869,"November 17, 2020",Tennessee,Memphis,3100 block of Frayser Blvd,0,2,http://www.gunviolencearchive.org/incident/1854093,https://www.wmcactionnews5.com/2020/11/19/mpd-releases-photo-truck-involved-frayser-roadway-shooting/
870,"November 17, 2020",Georgia,Atlanta,301 Fulton Industrial Cir SW,0,1,http://www.gunviolencearchive.org/incident/1854333,https://www.ajc.com/news/off-duty-cobb-officer-critically-injured-in-shooting-at-fulton-hotel/MRVZA6CRNVCHHLMLWJIBDJG2DQ/
871,"November 17, 2020",California,Compton,400 block of W Alondra Blvd,1,0,http://www.gunviolencearchive.org/incident/1854683,https://www.nbclosangeles.com/news/local/its-senseless-19-year-old-rising-star-athlete-from-compton-shot-and-killed/2465284/
872,"November 17, 2020",Georgia,Atlanta,Lloyd Rd and H F Shepherd Dr,1,0,http://www.gunviolencearchive.org/incident/1854343,https://www.ajc.com/news/passerby-finds-smoking-body-of-homicide-victim-along-dekalb-road/FJKBDLHVQFFN3K5ZCA5IO3H74E/
873,"November 17, 2020",Colorado,Pueblo,E 29th St and Hart Rd,1,0,http://www.gunviolencearchive.org/incident/1855306,https://www.fox21news.com/news/crime/second-suspect-arrested-in-connection-with-pueblo-homicide/
874,"November 17, 2020",Georgia,Savannah,2000 block of Atlantic Ave,0,1,http://www.gunviolencearchive.org/incident/1855036,https://www.savannahnow.com/news/20201123/savannah-police-arrest-two-additional-teens-in-baldwin-park-shootings
875,"November 17, 2020",Illinois,Decatur,3000 block of N Water St,0,0,http://www.gunviolencearchive.org/incident/1862002,https://herald-review.com/news/local/crime-and-courts/revolver-wielding-man-thrown-off-the-side-of-moving-truck-trying-to-get-to-driver/article_ecb86d10-b12f-5100-a2a0-d0b58679a353.html
876,"November 17, 2020",Georgia,Savannah,200 block of Crescent Dr,0,1,http://www.gunviolencearchive.org/incident/1854428,https://www.wtoc.com/2020/11/17/woman-injured-early-morning-shooting-crescent-drive-savannah/
